freq,scheme,benefit_type,target_group,unit,country,year,expenditure
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2021,137.48
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),FR,2022,132.9
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2015,49.23
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2016,46.8
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2017,42.24
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2018,40.39
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2019,42.66
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2020,40.17
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2021,37.87
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HR,2022,36.41
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2015,2.98
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2016,2.62
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2017,2.32
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2018,2.17
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2019,2.14
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2020,1.92
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2021,1.86
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),HU,2022,1.66
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2015,247.58
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2016,230.81
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2017,229.24
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2018,225.71
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2019,223.09
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2020,222.21
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2021,210.36
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IE,2022,221.55
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2015,125.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2016,129.42
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2017,133.56
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2018,127.65
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2019,128.3
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2020,120.89
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2021,152.34
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),IT,2022,69.04
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2015,7.29
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2016,6.17
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2017,8.6
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2018,1.09
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2019,0.84
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2020,1.2
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2021,1.85
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LT,2022,1.61
